model,task,weight_ED,alpha_std_batch,alpha_std_all,beta_batch,test_MAE
SchNet,cv,1.0,-1.5,-1.5,0.5,0.031665
SchNet,gap,1.0,-1.5,-1.5,0.5,0.04986
SchNet,lumo,1.0,-1.5,-1.5,0.5,0.026034
SchNet,u0,1.0,-1.5,-1.5,0.5,0.013717
SchNet,mu,1.0,-1.5,-1.5,0.5,0.030919
SchNet,zpve,1.0,-1.5,-1.5,0.5,0.001733
SchNet,alpha,1.0,-1.5,-1.5,0.5,0.068685
SchNet,h298,1.0,-1.5,-1.5,0.5,0.013973
SchNet,homo,1.0,-1.5,-1.5,0.5,0.0321
SchNet,r2,1.0,-1.5,-1.5,0.5,0.133854
SchNet,u298,1.0,-1.5,-1.5,0.5,0.013922
SchNet,g298,1.0,-1.5,-1.5,0.5,0.014388
SchNet,cv,1.0,-1.5,1.5,0.5,0.032038
SchNet,gap,1.0,-1.5,1.5,0.5,0.050174
SchNet,lumo,1.0,-1.5,1.5,0.5,0.02603
SchNet,u0,1.0,-1.5,1.5,0.5,0.013856
SchNet,mu,1.0,-1.5,1.5,0.5,0.030381
SchNet,zpve,1.0,-1.5,1.5,0.5,0.001693
SchNet,alpha,1.0,-1.5,1.5,0.5,0.068784
SchNet,h298,1.0,-1.5,1.5,0.5,0.014173
SchNet,homo,1.0,-1.5,1.5,0.5,0.03162
SchNet,r2,1.0,-1.5,1.5,0.5,0.133577
SchNet,u298,1.0,-1.5,1.5,0.5,0.01412
SchNet,g298,1.0,-1.5,1.5,0.5,0.014409
SchNet,cv,0.01,0,0,0.5,0.031861
SchNet,gap,0.01,0,0,0.5,0.050344
SchNet,lumo,0.01,0,0,0.5,0.025901
SchNet,u0,0.01,0,0,0.5,0.013846
SchNet,mu,0.01,0,0,0.5,0.030658
SchNet,zpve,0.01,0,0,0.5,0.0017
SchNet,alpha,0.01,0,0,0.5,0.071272
SchNet,h298,0.01,0,0,0.5,0.014349
SchNet,homo,0.01,0,0,0.5,0.032544
SchNet,r2,0.01,0,0,0.5,0.136712
SchNet,u298,0.01,0,0,0.5,0.01412
SchNet,g298,0.01,0,0,0.5,0.014347
SchNet,cv,0.5,-1.5,-1.5,0.5,0.031798
SchNet,gap,0.5,-1.5,-1.5,0.5,0.050063
SchNet,lumo,0.5,-1.5,-1.5,0.5,0.026382
SchNet,u0,0.5,-1.5,-1.5,0.5,0.013851
SchNet,mu,0.5,-1.5,-1.5,0.5,0.030196
SchNet,zpve,0.5,-1.5,-1.5,0.5,0.001726
SchNet,alpha,0.5,-1.5,-1.5,0.5,0.070174
SchNet,h298,0.5,-1.5,-1.5,0.5,0.013889
SchNet,homo,0.5,-1.5,-1.5,0.5,0.032337
SchNet,r2,0.5,-1.5,-1.5,0.5,0.133468
SchNet,u298,0.5,-1.5,-1.5,0.5,0.014063
SchNet,g298,0.5,-1.5,-1.5,0.5,0.014113
SchNet,cv,0.5,0,1.5,1,0.03175
SchNet,gap,0.5,0,1.5,1,0.049815
SchNet,lumo,0.5,0,1.5,1,0.025976
SchNet,u0,0.5,0,1.5,1,0.014048
SchNet,mu,0.5,0,1.5,1,0.030643
SchNet,zpve,0.5,0,1.5,1,0.001703
SchNet,alpha,0.5,0,1.5,1,0.06985
SchNet,h298,0.5,0,1.5,1,0.014154
SchNet,homo,0.5,0,1.5,1,0.031684
SchNet,r2,0.5,0,1.5,1,0.13785
SchNet,u298,0.5,0,1.5,1,0.014013
SchNet,g298,0.5,0,1.5,1,0.014246
SchNet,cv,0.5,1.5,-1.5,0.5,0.032025
SchNet,gap,0.5,1.5,-1.5,0.5,0.050226
SchNet,lumo,0.5,1.5,-1.5,0.5,0.02643
SchNet,u0,0.5,1.5,-1.5,0.5,0.013667
SchNet,mu,0.5,1.5,-1.5,0.5,0.030695
SchNet,zpve,0.5,1.5,-1.5,0.5,0.001712
SchNet,alpha,0.5,1.5,-1.5,0.5,0.06854
SchNet,h298,0.5,1.5,-1.5,0.5,0.014035
SchNet,homo,0.5,1.5,-1.5,0.5,0.031984
SchNet,r2,0.5,1.5,-1.5,0.5,0.134376
SchNet,u298,0.5,1.5,-1.5,0.5,0.014195
SchNet,g298,0.5,1.5,-1.5,0.5,0.014062
SchNet,cv,1.0,0,-1.5,0,0.031945
SchNet,gap,1.0,0,-1.5,0,0.050213
SchNet,lumo,1.0,0,-1.5,0,0.025499
SchNet,u0,1.0,0,-1.5,0,0.014041
SchNet,mu,1.0,0,-1.5,0,0.030813
SchNet,zpve,1.0,0,-1.5,0,0.001721
SchNet,alpha,1.0,0,-1.5,0,0.069626
SchNet,h298,1.0,0,-1.5,0,0.013773
SchNet,homo,1.0,0,-1.5,0,0.03185
SchNet,r2,1.0,0,-1.5,0,0.136032
SchNet,u298,1.0,0,-1.5,0,0.014216
SchNet,g298,1.0,0,-1.5,0,0.013891
SchNet,cv,0.5,0,0,0,0.031738
SchNet,gap,0.5,0,0,0,0.050419
SchNet,lumo,0.5,0,0,0,0.026203
SchNet,u0,0.5,0,0,0,0.013659
SchNet,mu,0.5,0,0,0,0.030441
SchNet,zpve,0.5,0,0,0,0.001716
SchNet,alpha,0.5,0,0,0,0.070719
SchNet,h298,0.5,0,0,0,0.013992
SchNet,homo,0.5,0,0,0,0.031569
SchNet,r2,0.5,0,0,0,0.136593
SchNet,u298,0.5,0,0,0,0.014234
SchNet,g298,0.5,0,0,0,0.013875
SchNet,cv,0.5,0,0,0.5,0.032168
SchNet,gap,0.5,0,0,0.5,0.049426
SchNet,lumo,0.5,0,0,0.5,0.025965
SchNet,u0,0.5,0,0,0.5,0.01365
SchNet,mu,0.5,0,0,0.5,0.031062
SchNet,zpve,0.5,0,0,0.5,0.0017
SchNet,alpha,0.5,0,0,0.5,0.069294
SchNet,h298,0.5,0,0,0.5,0.014177
SchNet,homo,0.5,0,0,0.5,0.031976
SchNet,r2,0.5,0,0,0.5,0.135663
SchNet,u298,0.5,0,0,0.5,0.013907
SchNet,g298,0.5,0,0,0.5,0.014231
SchNet,cv,1.0,0,1.5,0,0.032243
SchNet,gap,1.0,0,1.5,0,0.050593
SchNet,lumo,1.0,0,1.5,0,0.026289
SchNet,u0,1.0,0,1.5,0,0.013903
SchNet,mu,1.0,0,1.5,0,0.030839
SchNet,zpve,1.0,0,1.5,0,0.001734
SchNet,alpha,1.0,0,1.5,0,0.069992
SchNet,h298,1.0,0,1.5,0,0.014169
SchNet,homo,1.0,0,1.5,0,0.031834
SchNet,r2,1.0,0,1.5,0,0.135429
SchNet,u298,1.0,0,1.5,0,0.01417
SchNet,g298,1.0,0,1.5,0,0.014402
SchNet,cv,1.0,0,0,1,0.032055
SchNet,gap,1.0,0,0,1,0.050292
SchNet,lumo,1.0,0,0,1,0.025954
SchNet,u0,1.0,0,0,1,0.013854
SchNet,mu,1.0,0,0,1,0.030797
SchNet,zpve,1.0,0,0,1,0.001692
SchNet,alpha,1.0,0,0,1,0.070405
SchNet,h298,1.0,0,0,1,0.014216
SchNet,homo,1.0,0,0,1,0.03227
SchNet,r2,1.0,0,0,1,0.135691
SchNet,u298,1.0,0,0,1,0.014039
SchNet,g298,1.0,0,0,1,0.014136
SchNet,cv,1.0,1.5,-1.5,0.5,0.031875
SchNet,gap,1.0,1.5,-1.5,0.5,0.050233
SchNet,lumo,1.0,1.5,-1.5,0.5,0.026449
SchNet,u0,1.0,1.5,-1.5,0.5,0.013788
SchNet,mu,1.0,1.5,-1.5,0.5,0.03037
SchNet,zpve,1.0,1.5,-1.5,0.5,0.001693
SchNet,alpha,1.0,1.5,-1.5,0.5,0.069639
SchNet,h298,1.0,1.5,-1.5,0.5,0.014347
SchNet,homo,1.0,1.5,-1.5,0.5,0.032138
SchNet,r2,1.0,1.5,-1.5,0.5,0.138368
SchNet,u298,1.0,1.5,-1.5,0.5,0.014244
SchNet,g298,1.0,1.5,-1.5,0.5,0.014159
SchNet,cv,1.0,0,-1.5,1,0.031579
SchNet,gap,1.0,0,-1.5,1,0.050439
SchNet,lumo,1.0,0,-1.5,1,0.026035
SchNet,u0,1.0,0,-1.5,1,0.013627
SchNet,mu,1.0,0,-1.5,1,0.030462
SchNet,zpve,1.0,0,-1.5,1,0.00169
SchNet,alpha,1.0,0,-1.5,1,0.068939
SchNet,h298,1.0,0,-1.5,1,0.014431
SchNet,homo,1.0,0,-1.5,1,0.032325
SchNet,r2,1.0,0,-1.5,1,0.133969
SchNet,u298,1.0,0,-1.5,1,0.014328
SchNet,g298,1.0,0,-1.5,1,0.014242
SchNet,cv,0.01,1.5,0,0.5,0.03219
SchNet,gap,0.01,1.5,0,0.5,0.050696
SchNet,lumo,0.01,1.5,0,0.5,0.026288
SchNet,u0,0.01,1.5,0,0.5,0.014132
SchNet,mu,0.01,1.5,0,0.5,0.030864
SchNet,zpve,0.01,1.5,0,0.5,0.001696
SchNet,alpha,0.01,1.5,0,0.5,0.070657
SchNet,h298,0.01,1.5,0,0.5,0.013921
SchNet,homo,0.01,1.5,0,0.5,0.031985
SchNet,r2,0.01,1.5,0,0.5,0.139904
SchNet,u298,0.01,1.5,0,0.5,0.014105
SchNet,g298,0.01,1.5,0,0.5,0.014015
SchNet,cv,0.5,-1.5,1.5,0.5,0.031602
SchNet,gap,0.5,-1.5,1.5,0.5,0.050836
SchNet,lumo,0.5,-1.5,1.5,0.5,0.026242
SchNet,u0,0.5,-1.5,1.5,0.5,0.013518
SchNet,mu,0.5,-1.5,1.5,0.5,0.030743
SchNet,zpve,0.5,-1.5,1.5,0.5,0.00173
SchNet,alpha,0.5,-1.5,1.5,0.5,0.069362
SchNet,h298,0.5,-1.5,1.5,0.5,0.014221
SchNet,homo,0.5,-1.5,1.5,0.5,0.032316
SchNet,r2,0.5,-1.5,1.5,0.5,0.132742
SchNet,u298,0.5,-1.5,1.5,0.5,0.014448
SchNet,g298,0.5,-1.5,1.5,0.5,0.01389
