model,molecule,weight_ED,alpha_std_batch,alpha_std_all,beta_batch,test_Energy,test_Force
SphereNet,naphthalene,0.001,0,1.5,0,0.022563,0.096415
SphereNet,aspirin,0.001,0,1.5,0,0.153187,0.379294
SphereNet,malonaldehyde,0.001,0,1.5,0,0.098563,0.319944
SphereNet,paracetamol,0.001,0,1.5,0,0.096781,0.319866
SphereNet,uracil,0.001,0,1.5,0,0.048406,0.235664
SphereNet,toluene,0.001,0,1.5,0,0.029781,0.104843
SphereNet,azobenzene,0.001,0,1.5,0,0.087937,0.219701
SphereNet,salicylic,0.001,0,1.5,0,0.117375,0.298384
SphereNet,benzene,0.001,0,1.5,0,0.003563,0.020345
SphereNet,ethanol,0.001,0,1.5,0,0.041719,0.189531
SphereNet,naphthalene,0.001,0,0.5,0,0.049719,0.096752
SphereNet,aspirin,0.001,0,0.5,0,0.210063,0.380194
SphereNet,ethanol,0.001,0,0.5,0,0.046203,0.190956
SphereNet,malonaldehyde,0.001,0,0.5,0,0.185453,0.316403
SphereNet,paracetamol,0.001,0,0.5,0,0.118063,0.318794
SphereNet,uracil,0.001,0,0.5,0,0.056031,0.230441
SphereNet,toluene,0.001,0,0.5,0,0.027563,0.105948
SphereNet,azobenzene,0.001,0,0.5,0,0.101938,0.217083
SphereNet,salicylic,0.001,0,0.5,0,0.112219,0.305573
SphereNet,benzene,0.001,0,0.5,0,0.003641,0.020216
SphereNet,naphthalene,0.001,0,1.0,0,0.036156,0.095407
SphereNet,aspirin,0.001,0,1.0,0,0.145344,0.384036
SphereNet,ethanol,0.001,0,1.0,0,0.03575,0.18841
SphereNet,malonaldehyde,0.001,0,1.0,0,0.066109,0.320985
SphereNet,paracetamol,0.001,0,1.0,0,0.124531,0.318458
SphereNet,uracil,0.001,0,1.0,0,0.09,0.231263
SphereNet,toluene,0.001,0,1.0,0,0.023094,0.103749
SphereNet,azobenzene,0.001,0,1.0,0,0.081969,0.21998
SphereNet,salicylic,0.001,0,1.0,0,0.103719,0.294518
SphereNet,benzene,0.001,0,1.0,0,0.003828,0.020589
SphereNet,naphthalene,0.001,0,0,0,0.023734,0.097113
SphereNet,aspirin,0.001,0,0,0,0.125844,0.379599
SphereNet,ethanol,0.001,0,0,0,0.040805,0.188712
SphereNet,malonaldehyde,0.001,0,0,0,0.067672,0.315986
SphereNet,paracetamol,0.001,0,0,0,0.097344,0.323094
SphereNet,uracil,0.001,0,0,0,0.055703,0.231168
SphereNet,toluene,0.001,0,0,0,0.023672,0.103407
SphereNet,azobenzene,0.001,0,0,0,0.07125,0.222382
SphereNet,salicylic,0.001,0,0,0,0.065625,0.298714
SphereNet,benzene,0.001,0,0,0,0.003406,0.020777
SphereNet,naphthalene,0.001,0,-0.5,0,0.043219,0.095445
SphereNet,aspirin,0.001,0,-0.5,0,0.130906,0.38119
SphereNet,malonaldehyde,0.001,0,-0.5,0,0.216625,0.319012
SphereNet,paracetamol,0.001,0,-0.5,0,0.096281,0.320096
SphereNet,uracil,0.001,0,-0.5,0,0.050344,0.235701
SphereNet,toluene,0.001,0,-0.5,0,0.022203,0.10465
SphereNet,azobenzene,0.001,0,-0.5,0,0.083344,0.21894
SphereNet,salicylic,0.001,0,-0.5,0,0.071188,0.298923
SphereNet,benzene,0.001,0,-0.5,0,0.003766,0.020496
SphereNet,ethanol,0.001,0,-0.5,0,0.039098,0.188451
SphereNet,naphthalene,0.001,0,-1.5,0,0.025531,0.096125
SphereNet,aspirin,0.001,0,-1.5,0,0.123906,0.384017
SphereNet,ethanol,0.001,0,-1.5,0,0.036133,0.18698
SphereNet,malonaldehyde,0.001,0,-1.5,0,0.138594,0.319581
SphereNet,paracetamol,0.001,0,-1.5,0,0.129688,0.319199
SphereNet,uracil,0.001,0,-1.5,0,0.063484,0.225439
SphereNet,toluene,0.001,0,-1.5,0,0.024563,0.104622
SphereNet,azobenzene,0.001,0,-1.5,0,0.094594,0.217658
SphereNet,salicylic,0.001,0,-1.5,0,0.114219,0.297481
SphereNet,benzene,0.001,0,-1.5,0,0.003813,0.02043
SphereNet,naphthalene,0.001,0,-1,0,0.026406,0.096556
SphereNet,aspirin,0.001,0,-1,0,0.127219,0.379524
SphereNet,ethanol,0.001,0,-1,0,0.037391,0.18819
SphereNet,malonaldehyde,0.001,0,-1,0,0.087906,0.318801
SphereNet,paracetamol,0.001,0,-1,0,0.107531,0.318708
SphereNet,uracil,0.001,0,-1,0,0.058547,0.234582
SphereNet,toluene,0.001,0,-1,0,0.023,0.104221
SphereNet,azobenzene,0.001,0,-1,0,0.075344,0.21833
SphereNet,salicylic,0.001,0,-1,0,0.195187,0.298781
SphereNet,benzene,0.001,0,-1,0,0.004156,0.020124
